field_name,question_text_if_available,type,value_labels_if_any,missing_rate
DistributionChannel,Distribution Channel,multi-choice,anonymous,0.0000
Duration (in seconds),Duration (in seconds),other,521 | 1318 | 794 | 738 | 587 | 403 | 573 | 1237 | 360 | 1057 | 1529 | 1462,0.0000
EndDate,End Date,other,2025-11-21 01:37:23 | 2025-11-21 04:56:07 | 2025-11-21 05:00:11 | 2025-11-21 06:04:41 | 2025-11-21 06:39:43 | 2025-11-21 06:50:30 | 2025-11-21 07:26:07 | 2025-11-21 07:31:54 | 2025-11-21 07:47:49 | 2025-11-21 08:34:08 | 2025-11-21 09:08:38 | 2025-11-21 09:26:40,0.0000
Finished,Finished,multi-choice,1,0.0000
Progress,Progress,multi-choice,100,0.0000
Q16,Are you a full-time or part-time student?,multi-choice,Full-time | Part-time,0.0100
Q17,What is your undergraduate degree major?,multi-choice,Accounting | Other Business / Non-accounting | Other Non-business,0.0100
Q18,Did you complete your undergraduate degree from the same university from which you are pursuing your graduate degree?,multi-choice,No | Yes,0.7313
Q19,Did you start the graduate program within two years of graduating with an undergraduate degree?,multi-choice,Yes | No,0.7363
Q23,How many years of full-time work experience did you have before entering the graduate degree program?,other,5 | 8 | 6 | 2 | 21 | 0 | 25 | 20 | 3 | 14 | 4 | 18,0.7512
Q24_1,"If you had chosen to pursue the alternative pathway, which of the following aspects of a graduate program would be hardest to replace? (Rank from most (1) to least (6) beneficial) - CPA Exam Preparation",multi-choice,1 | 2 | 3 | 6 | 4 | 5,0.7711
Q24_2,"If you had chosen to pursue the alternative pathway, which of the following aspects of a graduate program would be hardest to replace? (Rank from most (1) to least (6) beneficial) - Networking Opportunities with Peers and Alumni",multi-choice,3 | 5 | 4 | 6 | 2 | 1,0.7711
Q24_3,"If you had chosen to pursue the alternative pathway, which of the following aspects of a graduate program would be hardest to replace? (Rank from most (1) to least (6) beneficial) - Interaction with Experienced Faculty",multi-choice,4 | 1 | 5 | 2 | 3 | 6,0.7711
Q24_4,"If you had chosen to pursue the alternative pathway, which of the following aspects of a graduate program would be hardest to replace? (Rank from most (1) to least (6) beneficial) - Coursework that Enhances Technical Accounting Skills",multi-choice,5 | 6 | 2 | 4 | 3 | 1,0.7711
Q24_5,"If you had chosen to pursue the alternative pathway, which of the following aspects of a graduate program would be hardest to replace? (Rank from most (1) to least (6) beneficial) - Opportunities to Develop Soft Skills (e.g., communication, leadership)",multi-choice,6 | 1 | 2 | 3 | 4 | 5,0.7711
Q24_6,"If you had chosen to pursue the alternative pathway, which of the following aspects of a graduate program would be hardest to replace? (Rank from most (1) to least (6) beneficial) - Internship and Recruitment Opportunities",multi-choice,2 | 3 | 4 | 5 | 6 | 1,0.7711
Q25,"Instead of a full graduate program, how attractive would you find a shorter graduate certificate (total of three to four courses at graduate tuition rates)? This graduate certificate would focus on specialized accounting topics such as taxation, information systems, data analytics, or other areas that align with key domains of accounting expertise and the specialized sections of the CPA exam.",multi-choice,Neither attractive nor unattractive | Somewhat attractive | Very attractive | Not at all attractive | Somewhat unattractive,0.0100
Q27,Are you currently an undergraduate student or graduate student?,multi-choice,Graduate | Undergraduate,0.0100
Q28,"Have you already taken this survey before for another class? (If you have, you will still receive recognition for completion, but we need to set aside your second response for research purposes)",multi-choice,No | Yes,0.0100
Q29,"How likely are you to pursue a CPA license? If you aren't sure, select ""Neither likely nor unlikely""",Likert,Very likely | Somewhat likely | Very unlikely | Neither likely nor unlikely | Somewhat unlikely,0.0100
Q30,"How much did the graduate program’s ability to help you meet CPA licensure requirements (i.e., 150 credit hour requirement of the traditional pathway) influence your decision to enroll in the program?",Likert,It was the primary factor in my decision to pursue a graduate program. | It was a significant factor among others in my decision to pursue a graduate program. | It was the only reason I chose to pursue a graduate program. | It was a minor factor in my decision to pursue a graduate program. | It had no influence on my decision to pursue a graduate program.,0.7313
Q31,Were you aware of the alternative pathway to CPA licensure before beginning the graduate program?,multi-choice,Yes | No,0.7313
